0:0:0:0:0:0:0:1 - - [02/Jan/2021:23:36:11 +0900] "GET /Coffeesazo/index.jsp?inc=view/shopping/product_detail/Coffee_Stick1.jsp HTTP/1.1" 200 9041
0:0:0:0:0:0:0:1 - - [02/Jan/2021:23:36:11 +0900] "GET /Coffeesazo/view/css/coffemenu.css HTTP/1.1" 200 2123
0:0:0:0:0:0:0:1 - - [02/Jan/2021:23:36:13 +0900] "GET /Coffeesazo/index.jsp?inc=view/shopping/product_detail/Coffee_Stick1.jsp HTTP/1.1" 200 9041
0:0:0:0:0:0:0:1 - - [02/Jan/2021:23:36:15 +0900] "GET /Coffeesazo/index.jsp?inc=view/shopping/product_detail/Coffee_Stick1.jsp HTTP/1.1" 200 9041
0:0:0:0:0:0:0:1 - - [02/Jan/2021:23:36:18 +0900] "GET /Coffeesazo/index.jsp?inc=view/shopping/product_detail/Coffee_Stick1.jsp HTTP/1.1" 200 9041
0:0:0:0:0:0:0:1 - - [02/Jan/2021:23:36:20 +0900] "GET /Coffeesazo/index.jsp?inc=view/shopping/product_detail/Coffee_Stick1.jsp HTTP/1.1" 200 9041
0:0:0:0:0:0:0:1 - - [02/Jan/2021:23:36:24 +0900] "GET /Coffeesazo/index.jsp?inc=view/shopping/product_detail/Coffee_Stick1.jsp HTTP/1.1" 200 9041
0:0:0:0:0:0:0:1 - - [02/Jan/2021:23:36:28 +0900] "GET /Coffeesazo/capsule HTTP/1.1" 200 13225
0:0:0:0:0:0:0:1 - - [02/Jan/2021:23:36:34 +0900] "GET /Coffeesazo/capsule HTTP/1.1" 200 13225
0:0:0:0:0:0:0:1 - - [02/Jan/2021:23:36:35 +0900] "GET /Coffeesazo/index.jsp?inc=view/shopping/product_detail/Coffee_Capsule1.jsp HTTP/1.1" 200 8831
0:0:0:0:0:0:0:1 - - [02/Jan/2021:23:36:37 +0900] "GET /Coffeesazo/index.jsp?inc=view/shopping/product_detail/Coffee_Capsule1.jsp HTTP/1.1" 200 8831
0:0:0:0:0:0:0:1 - - [02/Jan/2021:23:36:43 +0900] "GET /Coffeesazo/index.jsp?inc=view/shopping/product_detail/Coffee_Capsule1.jsp HTTP/1.1" 200 8831
0:0:0:0:0:0:0:1 - - [02/Jan/2021:23:36:49 +0900] "GET /Coffeesazo/stick HTTP/1.1" 200 14260
0:0:0:0:0:0:0:1 - - [02/Jan/2021:23:36:49 +0900] "GET /Coffeesazo/js/jquery.min.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [02/Jan/2021:23:36:49 +0900] "GET /Coffeesazo/js/popper.min.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [02/Jan/2021:23:36:49 +0900] "GET /Coffeesazo/js/bootstrap.min.js HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [02/Jan/2021:23:36:49 +0900] "GET /Coffeesazo/js/jquery.min.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [02/Jan/2021:23:36:49 +0900] "GET /Coffeesazo/js/bootstrap.min.js HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [02/Jan/2021:23:36:49 +0900] "GET /Coffeesazo/js/popper.min.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [02/Jan/2021:23:36:53 +0900] "GET /Coffeesazo/index.jsp?inc=view/shopping/product_detail/Coffee_Stick1.jsp HTTP/1.1" 200 9041
0:0:0:0:0:0:0:1 - - [02/Jan/2021:23:40:11 +0900] "GET /Coffeesazo/stick HTTP/1.1" 200 14237
0:0:0:0:0:0:0:1 - - [02/Jan/2021:23:40:11 +0900] "GET /Coffeesazo/js/jquery.min.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [02/Jan/2021:23:40:11 +0900] "GET /Coffeesazo/js/bootstrap.min.js HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [02/Jan/2021:23:40:11 +0900] "GET /Coffeesazo/js/popper.min.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [02/Jan/2021:23:40:11 +0900] "GET /Coffeesazo/js/jquery.min.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [02/Jan/2021:23:40:11 +0900] "GET /Coffeesazo/js/bootstrap.min.js HTTP/1.1" 404 845
